Pengujian Ke,K,Alpha,Beta,Accuracy
Pengujian Ke- 1,3,0.3,0.1,0.4444444444444444
Pengujian Ke- 2,3,0.3,0.2,0.4722222222222222
Pengujian Ke- 3,3,0.4,0.1,0.44907407407407407
Pengujian Ke- 4,3,0.4,0.2,0.41203703703703703
Pengujian Ke- 5,4,0.3,0.1,0.36574074074074076
Pengujian Ke- 6,4,0.3,0.2,0.3888888888888889
Pengujian Ke- 7,4,0.4,0.1,0.5648148148148148
Pengujian Ke- 8,4,0.4,0.2,0.5
Pengujian Ke- 9,5,0.3,0.1,0.5648148148148148
Pengujian Ke- 10,5,0.3,0.2,0.5509259259259259
Pengujian Ke- 11,5,0.4,0.1,0.4212962962962963
Pengujian Ke- 12,5,0.4,0.2,0.5138888888888888
